,,,,,,,,,,,,,IPC,,,,,,A. lupus cytb  (LOD =  3 copies/reaction),,,,,,,,,,,,G. morhua cytb  (LOD =  1.5 copies/reaction),,,,,,,,,,,,H. hippoglossus cytb  (LOD =  1.5 copies/reaction),,,,,,,,,,,
625048,PER25-50,2,SAB_15,SBK,45.929964,59.103435,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,1.52,APC0287 A_lupus_IPC_qPCR01,27.728,27.912,27.75,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,Undetermined,36.695,Undetermined,36.695,,,1.047,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625049,PER25-51,3,SAB_15,SBK,45.929964,59.103435,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,1.86,APC0287 A_lupus_IPC_qPCR01,27.67,27.729,27.753,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,38.405,Undetermined,38.405,NA,,1.138,,Inconclusive,,,APC0287 G_morhua qPCR01,37.095,Undetermined,Undetermined,37.095,,0.793,,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625050,PER25-52,1,SAB_19,SBK,45.93523,58.982609,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,0.94,APC0287 A_lupus_IPC_qPCR01,27.603,27.641,27.59,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Inconclusive,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,36.768,36.768,,,,0.995,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625051,PER25-53,2,SAB_19,SBK,45.93523,58.982609,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,0.91,APC0287 A_lupus_IPC_qPCR01,27.675,27.816,27.749,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,39.516,Undetermined,39.516,,,0.524,NA,,Inconclusive,,Redo result = undetected for all 3 samples,APC0287 G_morhua qPCR01,36.821,36.834,36.895,36.850,0.039,0.960,0.951,0.912,Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625052,PER25-54,3,SAB_19,SBK,45.93523,58.982609,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,0.70,APC0287 A_lupus_IPC_qPCR01,27.543,27.779,27.787,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,Kept first run result,APC0287 G_morhua qPCR01,Undetermined,Undetermined,37.823,37.823,,,,0.478,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625053,PER25-55,1,SAB_20,SBK,46.037222,58.980114,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,0.87,APC0287 A_lupus_IPC_qPCR01,27.713,27.59,27.787,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Detected,Match to first run,APC0287 G_morhua qPCR01,Undetermined,Undetermined,36.712,36.712,,,,1.035,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625054,PER25-56,2,SAB_20,SBK,46.037222,58.980114,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,0.84,APC0287 A_lupus_IPC_qPCR01,27.517,27.699,27.76,27.654,No Inhibition,APC0287 Redo_qPCR01,Undetermined,Undetermined,39.677,39.677,,,,0.933,Not Detected,,Redo = Inconclusive (1/3 amplified),APC0287 G_morhua qPCR01,36.87,36.71,35.755,36.445,0.603,0.928,1.036,2.012,Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625055,PER25-57,3,SAB_20,SBK,46.037222,58.980114,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,0.85,APC0287 A_lupus_IPC_qPCR01,27.66,27.738,27.679,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.369*,38.574,Undetermined,38.369,,1.166,1.974,,Inconclusive,,Redo = Inconclusive (2/3 amplified: *1st rep 38.009; quantity = 2.897),APC0287 G_morhua qPCR01,Undetermined,36.786,Undetermined,36.786,,,0.983,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625059,PER25-61,1,Scatarie_4,SCA,45.996521,59.245021,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,0.86,APC0287 A_lupus_IPC_qPCR01,27.58,27.903,27.776,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,39.384,Undetermined,38.434,38.909,0.672,0.575,,1.115,Inconclusive,Detected,Redo = match to first run,APC0287 G_morhua qPCR01,37.619,Undetermined,36.805,37.212,0.576,0.551,,0.971,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625060,PER25-62,2,Scatarie_4,SCA,45.996521,59.245021,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,0.94,APC0287 A_lupus_IPC_qPCR01,27.732,27.639,27.668,27.654,No Inhibition,APC0287 Redo_qPCR01,Undetermined,39.405,Undetermined,39.405,,,1.122,,Not Detected,,Redo = Inconclusive (1/3 amplified),APC0287 G_morhua qPCR01,36.841,Undetermined,Undetermined,36.841,,0.946,,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625061,PER25-63,3,Scatarie_4,SCA,45.996521,59.245021,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,1.19,APC0287 A_lupus_IPC_qPCR01,27.593,27.662,27.605,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,Redo = match to first run,APC0287 G_morhua qPCR01,35.942,36.91,Undetermined,36.426,0.685,1.766,0.902,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625062,PER25-64,1,Scatarie_10,SCA,45.971976,59.226801,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,1.70,APC0287 A_lupus_IPC_qPCR01,27.667,27.592,27.692,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.960,Undetermined,Undetermined,38.96,,0.772,,,Inconclusive,Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Inconclusive,Redo = match,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625063,PER25-65,2,Scatarie_10,SCA,45.971976,59.226801,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,0.67,APC0287 A_lupus_IPC_qPCR01,27.611,27.677,27.66,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.365,Undetermined,Undetermined,38.365,,1.17,,,Inconclusive,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,Redo = match,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625064,PER25-66,3,Scatarie_10,SCA,45.971976,59.226801,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,1.08,APC0287 A_lupus_IPC_qPCR01,27.827,27.813,27.8,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.358,37.898,37.335,37.864,0.512,1.175,1.62,2.399,Detected,,,APC0287 G_morhua qPCR01,36.769,Undetermined,36.877,36.823,0.076,0.995,,0.923,Inconclusive,,Redo = match,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625065,PER25-67,1,Scatarie_6,SCA,45.970831,59.188323,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES955,0.70,APC0287 A_lupus_IPC_qPCR01,27.636,27.623,27.729,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,35.958,35.958,,,,1.747,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625066,PER25-68,2,Scatarie_6,SCA,45.970831,59.188323,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,0.99,APC0287 A_lupus_IPC_qPCR01,27.685,27.759,27.794,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,37.877,Undetermined,36.761,37.319,0.789,0.461,,1.001,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625067,PER25-69,3,Scatarie_6,SCA,45.970831,59.188323,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,1.57,APC0287 A_lupus_IPC_qPCR01,27.706,27.742,27.696,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,36.803,36.803,,,,0.972,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625068,PER25-70,1,Scatarie_5,SCA,45.949791,59.246256,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,1.08,APC0287 A_lupus_IPC_qPCR01,27.614,27.713,27.659,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Detected,Redo = match to first run,APC0287 G_morhua qPCR01,Undetermined,36.977,Undetermined,36.977,,,0.861,,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625069,PER25-71,2,Scatarie_5,SCA,45.949791,59.246256,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,0.86,APC0287 A_lupus_IPC_qPCR01,27.577,27.589,27.721,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,41.257,39.558,38.752,39.155,0.571,0.319,0.509,0.893,Inconclusive,,Redo = 1/3; inconclusive),APC0287 G_morhua qPCR01,Undetermined,Undetermined,36.878,36.878,,,,0.922,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625070,PER25-72,3,Scatarie_5,SCA,45.949791,59.246256,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,1.23,APC0287 A_lupus_IPC_qPCR01,27.652,27.736,27.734,27.654,No Inhibition,APC0287 Redo_qPCR01,Undetermined,Undetermined,39.234,,,,,1.26,Not Detected,,Redo = Inconclusive (1/3 amplified),APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625071,PER25-73,1,SAB_10,SBK,45.940778,59.259297,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,2.59,APC0287 A_lupus_IPC_qPCR01,27.749,27.996,27.827,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,36.719,35.957,Undetermined,36.338,0.539,1.030,1.749,,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625072,PER25-74,2,SAB_10,SBK,45.940778,59.259297,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,1.86,APC0287 A_lupus_IPC_qPCR01,27.801,27.659,27.781,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625073,PER25-75,3,SAB_10,SBK,45.940778,59.259297,15-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,1.21,APC0287 A_lupus_IPC_qPCR01,27.757,27.823,27.606,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,37.071,37.071,,,,0.807,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625074,PER25-76,BLANK,,,,,15-Jun-25,SmithRoot,Ethanol,Field Blank,TUBES956,0.28,APC0287 A_lupus_IPC_qPCR01,27.805,27.867,27.729,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625075,PER25-77,1,SAB_11,SBK,46.051367,59.254004,16-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,1.48,APC0287 A_lupus_IPC_qPCR01,27.823,27.589,27.627,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,36.511,37.290,36.835,36.879,0.391,1.190,0.693,0.950,Detected,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,match to first run
625076,PER25-78,2,SAB_11,SBK,46.051367,59.254004,16-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,3.27,APC0287 A_lupus_IPC_qPCR01,27.642,27.636,27.7,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,36.779,37.764,Undetermined,37.272,0.696,0.988,0.499,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Inconclusive,match to first run
625077,PER25-79,3,SAB_11,SBK,46.051367,59.254004,16-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,2.57,APC0287 A_lupus_IPC_qPCR01,27.608,27.592,27.533,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,35.084,35.425,Undetermined,35.254,0.241,3.206,2.530,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,39.125,Undetermined,Undetermined,39.125,,0.868,,,Inconclusive,,Redo = not detected; first run = inconclusive = FINAL result
625081,PER25-83,1,SAB_17,SBK,46.159152,59.087822,16-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,2.73,APC0287 A_lupus_IPC_qPCR01,27.657,27.845,27.59,27.654,No Inhibition,APC0287 Redo_qPCR01,Undetermined,38.893,Undetermined,38.893,,1.459,,,Not Detected,Detected,Redo = inconclusive (1/3 amplified),APC0287 G_morhua qPCR01,Undetermined,Undetermined,36.797,36.797,,,,0.976,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625082,PER25-84,2,SAB_17,SBK,46.159152,59.087822,16-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,1.75,APC0287 A_lupus_IPC_qPCR01,27.777,27.889,27.803,27.654,No Inhibition,APC0287 Redo_qPCR01,Undetermined,Undetermined,38.704,38.704,,,,1.654,Not Detected,,Redo = inconclusive (1/3 amplified),APC0287 G_morhua qPCR01,35.412,Undetermined,36.896,36.154,1.049,2.552,,0.911,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625083,PER25-85,3,SAB_17,SBK,46.159152,59.087822,16-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,1.05,APC0287 A_lupus_IPC_qPCR01,27.908,27.907,27.844,27.654,No Inhibition,APC0287 Redo_qPCR01,38.686,39.618,39.706,39.337,0.565,1.674,0.901,0.85,Inconclusive,,first run = 2/3 (Inconclusive); Redo = 3/3 amplified = Detected,APC0287 G_morhua qPCR01,36.848,Undetermined,Undetermined,36.848,,0.942,,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625084,PER25-86,1,SAB_18,SBK,46.257869,59.110261,16-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,2.11,APC0287 A_lupus_IPC_qPCR01,27.684,27.972,27.855,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,37.946,Undetermined,37.946,,,0.439,,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,38.325,Undetermined,38.325,,,1.509,,Inconclusive,,Redo = not detected; first run = inconclusive = FINAL result
625085,PER25-87,2,SAB_18,SBK,46.257869,59.110261,16-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,1.35,APC0287 A_lupus_IPC_qPCR01,27.726,27.618,27.664,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,36.354,Undetermined,Undetermined,36.354,,1.327,,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Inconclusive,match to first run
625086,PER25-88,3,SAB_18,SBK,46.257869,59.110261,16-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,2.18,APC0287 A_lupus_IPC_qPCR01,27.727,27.738,27.73,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,match to first run
625087,PER25-89,1,SAB_13,SBK,46.268487,59.225255,16-Jun-25,SmithRoot,Ethanol,Sample,TUBES956,1.39,APC0287 A_lupus_IPC_qPCR01,27.706,27.568,27.747,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Detected,,APC0287 G_morhua qPCR01,36.124,36.997,Undetermined,36.560,0.617,1.557,0.849,,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625088,PER25-90,2,SAB_13,SBK,46.268487,59.225255,16-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,2.94,APC0287 A_lupus_IPC_qPCR01,27.754,27.746,27.674,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.561,Undetermined,38.104,38.332,0.323,1.021,,1.404,Inconclusive,,,APC0287 G_morhua qPCR01,36.685,37.844,35.082,36.537,1.387,1.055,0.472,3.211,Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625089,PER25-91,3,SAB_13,SBK,46.268487,59.225255,16-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,2.50,APC0287 A_lupus_IPC_qPCR01,27.726,27.756,27.954,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,37.862,35.444,35.997,36.434,1.267,1.661,8.974,6.103,Detected,,,APC0287 G_morhua qPCR01,35.498,Undetermined,Undetermined,35.498,,2.405,,,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625090,PER25-92,BLANK,,,,,17-Jun-25,SmithRoot,Ethanol,Field Blank,TUBES957,1.62,APC0287 A_lupus_IPC_qPCR01,27.768,27.881,27.869,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625091,PER25-93,1,SAB_08,SBK,45.87988,59.608594,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,2.47,APC0287 A_lupus_IPC_qPCR01,27.895,27.855,27.685,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,36.687,36.697,37.058,36.814,0.212,3.77,3.745,2.91,Detected,Detected,,APC0287 G_morhua qPCR01,36.761,35.866,36.693,36.44,0.498,1.000,1.862,1.049,Detected,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625092,PER25-94,2,SAB_08,SBK,45.87988,59.608594,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,1.74,APC0287 A_lupus_IPC_qPCR01,27.799,27.801,27.75,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,36.88,37.427,Undetermined,37.153,0.387,3.297,2.251,,Inconclusive,,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,37.127,37.127,,,,0.776,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625093,PER25-95,3,SAB_08,SBK,45.87988,59.608594,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,1.66,APC0287 A_lupus_IPC_qPCR01,27.738,27.592,27.591,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.473,37.532,38.384,38.13,0.52,1.085,2.092,1.154,Detected,,,APC0287 G_morhua qPCR01,35.921,Undetermined,36.821,36.371,0.637,1.793,,0.960,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625097,PER25-99,1,CURDO_02,CUR,45.888467,59.601614,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,2.97,APC0287 A_lupus_IPC_qPCR01,27.537,27.548,27.733,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,37.193,38.247,Undetermined,38.247,,4.516,1.271,,Inconclusive,Detected,Redo = match to first run (1/3),APC0287 G_morhua qPCR01,36.736,Undetermined,Undetermined,36.736,,1.018,,,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625098,PER25-100,2,CURDO_02,CUR,45.888467,59.601614,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,2.29,APC0287 A_lupus_IPC_qPCR01,27.719,27.706,27.617,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.317,Undetermined,Undetermined,38.317,,1.209,,,Inconclusive,,Redo = not detected,APC0287 G_morhua qPCR01,37.644,Undetermined,36.009,36.827,1.156,0.542,,1.686,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625099,PER25-101,3,CURDO_02,CUR,45.888467,59.601614,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,2.28,APC0287 A_lupus_IPC_qPCR01,27.684,27.666,27.792,27.654,No Inhibition,APC0287 Redo_qPCR01B,37.135,Undetermined,Undetermined,37.135,,4.693,,,Not Detected,,Redo = inconclusive (1/3),APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625100,PER25-102,1,CURDO_10,CUR,45.89206,59.599093,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,1.90,APC0287 A_lupus_IPC_qPCR01,27.951,27.657,27.758,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.346,Undetermined,Undetermined,38.346,,1.185,,,Inconclusive,Detected,,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625101,PER25-103,2,CURDO_10,CUR,45.89206,59.599093,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,2.17,APC0287 A_lupus_IPC_qPCR01,27.832,27.782,27.79,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.098,Undetermined,Undetermined,38.098,,1.409,,,Inconclusive,,,APC0287 G_morhua qPCR01,36.767,35.879,36.775,36.474,0.515,0.996,1.846,0.991,Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625102,PER25-104,3,CURDO_10,CUR,45.89206,59.599093,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,1.92,APC0287 A_lupus_IPC_qPCR01,27.693,27.658,27.785,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,Undetermined,Undetermined,38.213,38.213,,,,1.3,Inconclusive,,,APC0287 G_morhua qPCR01,36.955,36.997,36.819,36.924,0.093,0.874,0.849,0.961,Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625103,PER25-105,1,CURDO_03,CUR,45.894098,59.592095,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,2.27,APC0287 A_lupus_IPC_qPCR01,27.697,27.551,27.767,27.654,No Inhibition,APC0287 A_lupus_IPC_qPCR01,38.159,Undetermined,Undetermined,38.159,,1.351,,,Inconclusive,Detected,Redo = match to first run,APC0287 G_morhua qPCR01,36.997,Undetermined,Undetermined,36.997,NA,0.849,NA,NA,Inconclusive,Detected,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,Not Detected,
625104,PER25-106,2,CURDO_03,CUR,45.894098,59.592095,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,2.89,APC0287 A_lupus_IPC_qPCR01,27.529,27.684,27.642,27.654,No Inhibition,APC0287 Redo_qPCR01B,Undetermined,39.369,38.611,38.99,0.537,,1.063,,Not Detected,,Redo = inconclusive; 2/3 amplified,APC0287 G_morhua qPCR01,36.786,Undetermined,Undetermined,36.786,NA,0.983,NA,NA,Inconclusive,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
625105,PER25-107,3,CURDO_03,CUR,45.894098,59.592095,17-Jun-25,SmithRoot,Ethanol,Sample,TUBES957,1.31,APC0287 A_lupus_IPC_qPCR01,27.807,27.663,27.653,27.654,No Inhibition,APC0287 Redo_qPCR01B,38.545,38.937,Undetermined,38.741,0.277,1.839,1.417,,Not Detected,,Redo = incocnlusive; 2/3 amplified,APC0287 G_morhua qPCR01,Undetermined,Undetermined,Undetermined,NA,NA,NA,NA,NA,Not Detected,,,APC0287 H_hippoglossus_qPCR01,Undetermined,Undetermined,Undetermined,,,,,,Not Detected,,
