Station,Date,Time,Sounding,Target Depth,Replicate,CastID,SampleID,SmithRootID,filterTube,Lat,Long,Net,Volume (l),Pres,Notes,Sequence,qPCR
SAB_14,6/21/2026,2:31:00 PM,125,125,1,2642343,626170,753,SAB26-099,45.87199,59.142458,4.11,1.37,ethanol,might have hit bottom. Samples are very sedimented and flow is restricted,Yes,Yes
SAB_14,6/21/2026,2:31:00 PM,125,125,2,2642343,626171,753,SAB26-100,45.87199,59.142458,4.11,1.37,ethanol,,Yes,Yes
SAB_14,6/21/2026,2:31:00 PM,125,125,3,2642343,626172,753,SAB26-101,45.87199,59.142458,4.11,1.37,ethanol,,Yes,Yes
SAB_09,6/21/2026,3:18:00 PM,94.7,93,1,2642344,626173,754,SAB26-102,45.863992,59.275774,9.03,3.01,ethanol,,Yes,Yes
SAB_09,6/21/2026,3:18:00 PM,94.7,93,2,2642344,626174,754,SAB26-103,45.863992,59.275774,9.03,3.01,ethanol,,Yes,Yes
SAB_09,6/21/2026,3:18:00 PM,94.7,93,3,2642344,626175,754,SAB26-104,45.863992,59.275774,9.03,3.01,ethanol,,Yes,Yes
SAB_05,6/21/2026,4:09:00 PM,90.5,90,1,2642345,626176,755,SAB26-105,45.853402,59.433318,9.19,3.063333333,ethanol,,Yes,No
SAB_05,6/21/2026,4:09:00 PM,90.5,90,2,2642345,626177,755,SAB26-106,45.853402,59.433318,9.19,3.063333333,ethanol,,Yes,No
SAB_05,6/21/2026,4:09:00 PM,90.5,90,3,2642345,626178,755,SAB26-107,45.853402,59.433318,9.19,3.063333333,ethanol,,Yes,No
SAB_01,6/21/2026,4:57:00 PM,62.2,62,1,2642346,626179,756,SAB26-108,45.845021,59.580741,9.15,3.05,ethanol,,Yes,Yes
SAB_01,6/21/2026,4:57:00 PM,62.2,62,2,2642346,626180,756,SAB26-109,45.845021,59.580741,9.15,3.05,ethanol,,Yes,Yes
SAB_01,6/21/2026,4:57:00 PM,62.2,62,3,2642346,626181,756,SAB26-110,45.845021,59.580741,9.15,3.05,ethanol,,Yes,Yes
BLANK,6/21/2026,NA,NA,NA,NA,NA,626182,757,SAB26-111,NA,NA,1.92,0.64,ethanol,,Yes,Yes
